Identifier,Gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10a_tnt_project_example,10b_tnt_project,11a_sa_feedback,11b_sa_feedback,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
630,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to
631,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
632,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Beauty parlour,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
633,Male,(d)no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",
634,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
635,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",
636,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",
637,Female,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",
638,Female,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
639,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
640,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
641,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Decorations business,,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(b)Did not want to,"(a)yes, many times",
642,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
643,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",
644,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
645,Male,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(b)yes, sometimes",
646,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
647,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",
648,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",
649,Female,(d)no,(b)Did not want to,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",
650,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Portrait sketching and painting,,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
651,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
652,Male,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",
653,Female,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(a) yes,I just like cooking I can make cake and pizza with my friends . I love to do cooking and this Is interesting.,,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",
654,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
655,Female,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
656,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",
657,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
658,Female,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Tea tree oil,,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",
659,Female,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
660,Male,(d)no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",
661,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",
662,Male,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",
663,Female,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(d)Was not allowed (by family / caregiver / teacher),(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",
664,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
665,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",
666,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,"(c)yes, once or twice",,(a) yes,Graphic designer or flex making,,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",
667,Male,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
668,Male,(d)no,(b)Did not want to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(b)Did not want to,(a) yes,Flex printing,,(d) no,(a)Did not need to,,,,,,,,,,,,,,,,,,
669,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
670,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",
671,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",
672,Male,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
673,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,(a) yes,व्यवसायी,,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity"
674,Female,(d)no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to
675,Male,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",
676,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",
677,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
678,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",
679,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(b)Did not want to,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,(a) yes,Flex making or graphic designer,,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(a)yes, many times",
680,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
